Dataset name: Old World Drought Atlas
Dataset details: owda v.1_0_0 pdsi jja
Method(s): ['OWDA']
Lat/lon or region: 42.75 degN 21.25 degE
---
Original source URL: https://www.ncei.noaa.gov/access/paleo-search/study/19419
New reference period: none
Notes: Processed by PReSto (https://paleopresto.com/)
---
Time: Year (CE)
Data: Palmer Drought Severity Index (PDSI)
---
Year (CE),OWDA mean (PDSI)
1371.00,-1.98
1372.00,-0.18
1373.00,0.46
1374.00,2.53
1375.00,3.01
1376.00,3.00
1377.00,0.82
1378.00,0.32
1379.00,-0.05
1380.00,0.42
1381.00,1.52
1382.00,-1.73
1383.00,-1.57
1384.00,-1.90
1385.00,-0.60
1386.00,-0.20
1387.00,1.59
1388.00,0.25
1389.00,0.52
1390.00,2.09
1391.00,1.02
1392.00,3.39
1393.00,2.51
1394.00,3.95
1395.00,1.51
1396.00,-0.33
1397.00,0.45
1398.00,-0.20
1399.00,0.09
1400.00,-2.34
1401.00,-3.01
1402.00,-1.67
1403.00,-2.32
1404.00,-0.25
1405.00,0.66
1406.00,-0.46
1407.00,0.70
1408.00,-0.75
1409.00,0.55
1410.00,-1.92
1411.00,1.53
1412.00,-0.09
1413.00,-0.71
1414.00,1.46
1415.00,1.04
1416.00,1.26
1417.00,-0.41
1418.00,-1.01
1419.00,1.32
1420.00,-4.51
1421.00,-2.50
1422.00,-2.65
1423.00,-1.12
1424.00,-0.49
1425.00,1.28
1426.00,-2.21
1427.00,-2.19
1428.00,-0.96
1429.00,-1.06
1430.00,-0.31
1431.00,0.52
1432.00,-0.68
1433.00,-1.50
1434.00,-1.61
1435.00,-1.39
1436.00,0.80
1437.00,1.81
1438.00,0.10
1439.00,-1.35
1440.00,-0.64
1441.00,-1.05
1442.00,-0.60
1443.00,0.58
1444.00,-0.24
1445.00,1.36
1446.00,1.35
1447.00,1.42
1448.00,2.15
1449.00,0.27
1450.00,-1.17
1451.00,-0.90
1452.00,1.29
1453.00,2.08
1454.00,2.85
1455.00,1.04
1456.00,2.07
1457.00,1.99
1458.00,1.92
1459.00,0.86
